,Sentiment,Recession,Consumer Confidence,Inflation,Industrial Production,Unemployment
1997-06-01,0.04774434177670628,0.0,99.98254,1.51408944343192,4.51770451770451,10.8
1997-07-01,0.19841889223850254,0.0,100.21,1.61267704389285,6.28078817733989,10.7
1997-08-01,0.3490934427002988,0.0,100.4532,1.83808053879613,5.10948905109489,10.7
1997-09-01,0.4997679931620951,0.0,100.634,1.69372900335945,4.74452554744524,10.7
1997-10-01,0.48659191691695014,0.0,100.6983,1.63590604026847,6.84596577017117,10.7
1997-11-01,0.21391774988514953,0.0,100.7143,1.76149867188593,5.57575757575757,10.6
1997-12-01,0.23815587092231,0.0,100.6967,1.60323435103861,6.796116504854361,10.6
1998-01-01,0.26239399195947044,1.0,100.7303,1.20917303683112,6.90072639225183,10.5
1998-02-01,0.7433529291884042,1.0,100.8481,1.23422548883651,6.738868832731639,10.5
1998-03-01,-7.87038152338937e-06,1.0,100.9973,1.24653739612187,5.59523809523809,10.5
1998-04-01,0.07721900717297103,1.0,101.0894,1.52396785813244,4.705882352941191,10.6
1998-05-01,0.15444588472746545,1.0,101.2148,1.45067698259188,6.05700712589074,10.6
1998-06-01,0.23167276228195988,1.0,101.3548,1.46388620356306,3.8551401869159,10.5
1998-07-01,0.4996818155887013,1.0,101.5354,1.39387248136904,4.05561993047509,10.5
1998-08-01,0.3806392141570541,1.0,101.632,1.2537889225682,2.54629629629628,10.4
1998-09-01,0.2615966127254069,1.0,101.7201,1.12869924294564,3.25203252032522,10.4
1998-10-01,0.005987705978138062,1.0,101.8384,1.04553583711653,1.94508009153317,10.3
1998-11-01,0.34337950515619015,1.0,101.9288,0.906717955763149,1.7221584385763502,10.3
1998-12-01,0.2433460895845201,1.0,101.94200000000001,0.836992316136111,0.0,10.2
1999-01-01,0.9890196768647002,1.0,101.9149,0.851414446580609,1.2457531143828,10.1
1999-02-01,0.660648252038906,1.0,101.7894,0.835616438356161,-0.338218714768863,10.0
1999-03-01,0.016918334858928574,1.0,101.5516,1.02599179206565,-0.225479143179246,9.9
1999-04-01,0.876678462853306,0.0,101.329,1.13264192139737,0.11235955056179901,9.9
1999-05-01,0.33260226081620203,0.0,101.2372,0.994144082799929,-0.11198208286674302,9.9
1999-06-01,0.6845293623337056,0.0,101.2944,0.939158840342985,1.1248593925759198,9.8
1999-07-01,0.37365377762762364,0.0,101.43,1.0752688172043,0.8908685968819471,9.8
1999-08-01,0.06277819292154163,0.0,101.5946,1.17022724180159,2.1444695259593702,9.7
1999-09-01,0.9976138690156707,0.0,101.7925,1.30665577786852,2.6996625421822102,9.7
1999-10-01,0.5980470917842468,0.0,102.029,1.38869979577944,3.5914702581369196,9.6
1999-11-01,0.6320118031023109,0.0,102.1961,1.52484683458133,4.51467268623025,9.6
1999-12-01,0.014466200344031677,0.0,102.3113,1.82337733024901,4.88636363636364,9.5
2000-01-01,0.34276349801317946,0.0,102.4069,1.93357304592291,3.0201342281879002,9.4
2000-02-01,0.6710607956823272,0.0,102.4425,2.02437767196322,5.42986425339365,9.3
2000-03-01,0.999358093351475,0.0,102.4329,2.05861720875323,5.76271186440677,9.2
2000-04-01,0.8329099404169635,0.0,102.3851,1.80857049673868,6.17283950617283,9.1
2000-05-01,0.666461787482452,0.0,102.3354,1.86135346535924,7.51121076233184,9.0
2000-06-01,0.8072599235383677,0.0,102.2573,2.21213428523996,5.3392658509455,9.0
2000-07-01,0.9698918162612244,0.0,102.2233,2.18228059844159,5.73951434878588,9.0
2000-08-01,0.783540401101709,0.0,102.1196,2.13933243073884,5.85635359116021,8.9
2000-09-01,0.5971889859421935,0.0,101.9313,2.47315619567113,5.03833515881709,8.8
2000-10-01,0.9504665357138341,1.0,101.9304,2.47185651896388,4.11700975081256,8.7
2000-11-01,0.7955034492901177,1.0,102.0532,2.54911777203968,4.859611231101519,8.7
2000-12-01,1.8794780771713704e-05,1.0,102.1525,2.6,5.850487540628389,8.6
2001-01-01,0.9990860701800557,1.0,102.1548,2.1,5.21172638436483,8.5
2001-02-01,0.4995564653618203,1.0,102.0448,2.1,4.3991416309012905,8.4
2001-03-01,2.686054358491674e-05,1.0,101.891,2.3,3.41880341880342,8.4
2001-04-01,0.44180617830716074,1.0,101.676,2.8,1.3742071881606799,8.4
2001-05-01,-0.28496279402073316,1.0,101.4505,3.1,0.31282586027111997,8.4
2001-06-01,0.5508704571293492,1.0,101.2403,2.9,1.58394931362196,8.4
2001-07-01,0.49968656143028056,1.0,101.0765,2.6,-1.46137787056366,8.4
2001-08-01,0.0012422503787092865,1.0,100.9259,2.4,0.9394572025052321,8.4
2001-09-01,0.7223720432230039,1.0,100.79899999999999,2.3,-0.5213764337851879,8.4
2001-10-01,0.9951735604481655,1.0,100.7323,2.3,-2.08116545265349,8.4
2001-11-01,0.4988525249646045,1.0,100.7482,2.0,-3.70751802265705,8.5
2001-12-01,0.23174776147061493,1.0,100.8652,2.1,-3.58239508700103,8.5
2002-01-01,0.9945246312781819,1.0,100.9704,2.6,-2.7863777089783297,8.5
2002-02-01,0.4962280489198747,1.0,100.9818,2.5,-2.87769784172661,8.5
2002-03-01,6.557675078511238e-05,1.0,100.8836,2.5,-1.5495867768595002,8.5
2002-04-01,0.7937089878250845,1.0,100.6862,2.4,-0.8342022940563198,8.6
2002-05-01,0.3005949649596005,1.0,100.5244,2.1,-0.727650727650726,8.6
2002-06-01,0.001330235849309247,1.0,100.352,1.9,-0.31185031185031603,8.6
2002-07-01,0.7051260824227938,1.0,100.215,2.0,0.8474576271186439,8.7
2002-08-01,0.35372895829641493,1.0,100.0608,2.2,-1.1375387797311298,8.7
2002-09-01,0.002331834170036018,1.0,99.90261,2.1,0.524109014675048,8.8
2002-10-01,0.7296101991269097,1.0,99.66681,2.3,1.27523910733263,8.8
2002-11-01,0.9851734326221049,1.0,99.35054000000001,2.3,2.56684491978609,8.9
2002-12-01,0.9981551200035028,1.0,99.03403,2.3,0.318471337579622,8.9
2003-01-01,0.49909647513050004,1.0,98.80537,2.2,1.9108280254777,9.1
2003-02-01,3.783025749726221e-05,1.0,98.65755,2.4,1.7989417989418,9.1
2003-03-01,0.0024885675848054234,1.0,98.60521999999999,2.4,0.104931794333696,9.2
2003-04-01,0.004939304912113585,1.0,98.72075,2.1,0.736067297581491,9.2
2003-05-01,0.37534399411379127,1.0,98.90682,1.9,-1.3612565445026201,9.2
2003-06-01,0.1887441354963812,1.0,99.08858000000001,2.0,-1.77267987486966,9.2
2003-07-01,0.9974248089129105,0.0,99.19530999999999,2.0,0.630252100840321,9.2
2003-08-01,0.9970926060777856,0.0,99.23035,2.1,-0.8368200836820079,9.2
2003-09-01,0.9967604032426607,0.0,99.27620999999999,2.2,-1.4598540145985401,9.2
2003-10-01,0.0014074789687583689,0.0,99.3477,2.1,1.67890870933894,9.2
2003-11-01,0.002154049941964331,0.0,99.42994,2.2,0.729927007299268,9.2
2003-12-01,0.9973068313920521,0.0,99.4628,2.0,2.43386243386242,9.3
2004-01-01,0.8845727841369808,0.0,99.51034,1.8,0.729166666666676,9.4
2004-02-01,0.9481348727931618,0.0,99.58811999999999,1.7,1.03950103950104,9.4
2004-03-01,0.6238677484361688,0.0,99.58771999999999,1.7,1.57232704402515,9.5
2004-04-01,0.44273822476388885,0.0,99.5065,2.1,2.0876826722338198,9.4
2004-05-01,0.4902105359433335,0.0,99.44808,2.5,3.9278131634819595,9.4
2004-06-01,0.061876027732068906,0.0,99.45183,2.4,3.9278131634819595,9.4
2004-07-01,0.9993939630076056,0.0,99.49535,2.3,3.02713987473906,9.4
2004-08-01,0.8719992279242433,0.0,99.57471,2.4,1.89873417721519,9.4
2004-09-01,0.744604492840881,0.0,99.66079,2.2,3.8095238095238,9.4
2004-10-01,0.6654354548469806,0.0,99.70393,2.4,1.75438596491227,9.4
2004-11-01,0.057980235513241496,0.0,99.71555,2.3,0.9316770186335409,9.4
2004-12-01,0.24569718607866284,0.0,99.78101,2.3,0.723140495867778,9.4
2005-01-01,0.5010270704806317,0.0,99.88015,1.9,1.65460186142709,9.3
2005-02-01,0.5802685539674712,0.0,99.93366,2.1,0.925925925925915,9.3
2005-03-01,0.5829711065918672,0.0,99.87182,2.2,1.1351909184726399,9.3
2005-04-01,0.5149745617381996,0.0,99.69275,2.1,1.7382413087934598,9.4
2005-05-01,0.6618730067930301,0.0,99.46835,2.0,0.20429009193053302,9.3
2005-06-01,0.41492093775304967,0.0,99.32766,2.0,1.1235955056179698,9.3
2005-07-01,0.6650615762579642,0.0,99.28973,2.1,0.9118541033434542,9.2
2005-08-01,0.003870242515404243,0.0,99.34843000000001,2.2,1.86335403726709,9.2
2005-09-01,0.9751551605877466,0.0,99.39848,2.6,1.7329255861366,9.2
2005-10-01,0.5584796863549855,0.0,99.48433,2.5,1.41987829614605,9.2
2005-11-01,0.2862571881953045,0.0,99.63835,2.3,4.20512820512819,9.1
2005-12-01,0.0001036153407767415,0.0,99.90675,2.3,3.0769230769231,9.1
2006-01-01,0.14562081797339488,0.0,100.1397,2.5,3.0518819938962203,9.0
2006-02-01,0.4170867095720799,0.0,100.25399999999999,2.4,3.26197757390417,8.9
2006-03-01,0.6646143883408513,0.0,100.3083,2.2,4.08163265306122,8.8
2006-04-01,0.99914209349663,0.0,100.3322,2.5,2.8140703517587995,8.7
2006-05-01,0.5622268874780275,0.0,100.3002,2.5,5.912334352701349,8.6
2006-06-01,0.6606002704374987,0.0,100.2758,2.5,4.84848484848484,8.5
2006-07-01,0.4404088731304606,0.0,100.3312,2.5,3.9156626506024104,8.4
